PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25600898","Transparent Reporting of a multivariable prediction model for Individual Prognosis or Diagnosis (TRIPOD): the TRIPOD statement","Collins GS, Reitsma JB, Altman DG, Moons KG.","Diabet Med. 2015 Feb;32(2):146-54. doi: 10.1111/dme.12654.","Collins GS","Diabet Med","2015","2015/01/21","","","10.1111/dme.12654"
"31711470","Development and internal validation of a Nomogram for preoperative prediction of surgical treatment effect on cesarean section diverticulum","Wang Y, Zhu Q, Lin F, Xie L, Li J, Wang X.","BMC Womens Health. 2019 Nov 11;19(1):136. doi: 10.1186/s12905-019-0817-z.","Wang Y","BMC Womens Health","2019","2019/11/13","PMC6849201","","10.1186/s12905-019-0817-z"
"38160431","A machine learning model to predict therapeutic inertia in type 2 diabetes using electronic health record data","McDaniel CC, Lo-Ciganic WH, Huang J, Chou C.","J Endocrinol Invest. 2024 Jun;47(6):1419-1433. doi: 10.1007/s40618-023-02259-1. Epub 2023 Dec 31.","McDaniel CC","J Endocrinol Invest","2024","2023/12/31","","","10.1007/s40618-023-02259-1"
"36793581","Personalized Injury Reduction Strategies in Sports Medicine: Lessons Learned from Advances in Breast Cancer Treatment: A Clinical Commentary","Bullock G, Collins G, Adams R, Thigpen C, Shanley E.","Int J Sports Phys Ther. 2023 Feb 1;18(1):253-261. doi: 10.26603/001c.57680. eCollection 2023.","Bullock G","Int J Sports Phys Ther","2023","2023/02/16","PMC9897041","","10.26603/001c.57680"
"40059274","Development and validation of a prediction model for 90-day mortality among critically ill patients with AKI undergoing CRRT","Wang T, Xu S, Yuan Y, Guo W, Zhang H, Sun J.","J Nephrol. 2025 Apr;38(3):947-957. doi: 10.1007/s40620-025-02237-1. Epub 2025 Mar 10.","Wang T","J Nephrol","2025","2025/03/10","PMC12165874","","10.1007/s40620-025-02237-1"
"40568664","Predictive performance of wearable sensors for mortality risk in older adults: a model development and validation study","Harper C, Sturge AD, Chan S, Maylor B, Shreves A, Meier D, Patkee P, Schoonbee J, Strange A, Nabholz C, Bennett D, Doherty A.","medRxiv [Preprint]. 2025 Apr 4:2025.04.03.25325101. doi: 10.1101/2025.04.03.25325101.","Harper C","medRxiv","2025","2025/06/26","PMC12191095","","10.1101/2025.04.03.25325101"
"31441090","Risk scores for type 2 diabetes mellitus in Latin America: a systematic review of population-based studies","Carrillo-Larco RM, Aparcana-Granda DJ, Mejia JR, Barengo NC, Bernabe-Ortiz A.","Diabet Med. 2019 Dec;36(12):1573-1584. doi: 10.1111/dme.14114. Epub 2019 Sep 6.","Carrillo-Larco RM","Diabet Med","2019","2019/08/24","PMC6900051","","10.1111/dme.14114"
"32327446","FINDRISC in Latin America: a systematic review of diagnosis and prognosis models","Carrillo-Larco RM, Aparcana-Granda DJ, Mejia JR, Bernabé-Ortiz A.","BMJ Open Diabetes Res Care. 2020 Apr;8(1):e001169. doi: 10.1136/bmjdrc-2019-001169.","Carrillo-Larco RM","BMJ Open Diabetes Res Care","2020","2020/04/25","PMC7202717","","10.1136/bmjdrc-2019-001169"
"36846513","Using Artificial Intelligence to Develop a Multivariate Model with a Machine Learning Model to Predict Complications in Mexican Diabetic Patients without Arterial Hypertension (National Nested Case-Control Study): Metformin and Elevated Normal Blood Pressure Are Risk Factors, and Obesity Is Protective","Zaizar-Fregoso SA, Lara-Esqueda A, Hernández-Suarez CM, Delgado-Enciso J, Garcia-Nevares A, Canseco-Avila LM, Guzman-Esquivel J, Rodriguez-Sanchez IP, Martinez-Fierro ML, Ceja-Espiritu G, Ochoa-Díaz-Lopez H, Espinoza-Gomez F, Sanchez-Diaz I, Delgado-Enciso I.","J Diabetes Res. 2023 Feb 16;2023:8898958. doi: 10.1155/2023/8898958. eCollection 2023.","Zaizar-Fregoso SA","J Diabetes Res","2023","2023/02/27","PMC9949947","","10.1155/2023/8898958"
"39895567","Development of a clinical decision support tool for Primary care Management of lower Urinary tract Symptoms in men: the PriMUS study","Edwards A, Agarwal R, Bates J, Bray A, Milosevic S, Thomas-Jones E, Drinnan M, Drake M, Michell P, Pell B, Ahmed H, Joseph-Williams N, Hood K, Takwoingi Y, Harding C.","Health Technol Assess. 2025 Jan;29(1):1-140. doi: 10.3310/RGTW5711.","Edwards A","Health Technol Assess","2025","2025/02/03","PMC11874884","","10.3310/RGTW5711"
"35111618","Machine learning-based diagnostic evaluation of shear-wave elastography in BI-RADS category 4 breast cancer screening: a multicenter, retrospective study","Tang Y, Liang M, Tao L, Deng M, Li T.","Quant Imaging Med Surg. 2022 Feb;12(2):1223-1234. doi: 10.21037/qims-21-341.","Tang Y","Quant Imaging Med Surg","2022","2022/02/03","PMC8739129","","10.21037/qims-21-341"
