PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25623047","Transparent reporting of a multivariable prediction model for individual prognosis or diagnosis (TRIPOD): the TRIPOD Statement","Collins GS, Reitsma JB, Altman DG, Moons KG.","Eur J Clin Invest. 2015 Feb;45(2):204-14. doi: 10.1111/eci.12376. Epub 2015 Jan 5.","Collins GS","Eur J Clin Invest","2015","2015/01/28","","","10.1111/eci.12376"
"35686042","Derivation and Validation of a Screening Model for Hypertrophic Cardiomyopathy Based on Electrocardiogram Features","Guo L, Gao C, Yang W, Ma Z, Zhou M, Liu J, Shao H, Wang B, Hu G, Zhao H, Zhang L, Guo X, Huang C, Cui Z, Song D, Sun F, Liu L, Zhang F, Tao L.","Front Cardiovasc Med. 2022 May 24;9:889523. doi: 10.3389/fcvm.2022.889523. eCollection 2022.","Guo L","Front Cardiovasc Med","2022","2022/06/10","PMC9170889","","10.3389/fcvm.2022.889523"
"37554790","Development of a nomogram for the early prediction of PACU VAS in patients undergoing laparoscopic radical resection of colorectal cancer with fentanyl","Zhou Y, Huang J, Cao L, Gao Y, Li Y, Wang B, Pan B, Guo W, Cang J.","Heliyon. 2023 Jul 22;9(8):e18560. doi: 10.1016/j.heliyon.2023.e18560. eCollection 2023 Aug.","Zhou Y","Heliyon","2023","2023/08/09","PMC10404693","","10.1016/j.heliyon.2023.e18560"
"29337387","Systematic review of predictive risk models for adverse drug events in hospitalized patients","Falconer N, Barras M, Cottrell N.","Br J Clin Pharmacol. 2018 May;84(5):846-864. doi: 10.1111/bcp.13514. Epub 2018 Feb 22.","Falconer N","Br J Clin Pharmacol","2018","2018/01/17","PMC5903258","","10.1111/bcp.13514"
"38741037","Development and validation of a new drug-focused predictive risk score for postoperative delirium in orthopaedic and trauma surgery patients","Geßele C, Saller T, Smolka V, Dimitriadis K, Amann U, Strobach D.","BMC Geriatr. 2024 May 13;24(1):422. doi: 10.1186/s12877-024-05005-1.","Geßele C","BMC Geriatr","2024","2024/05/13","PMC11092087","","10.1186/s12877-024-05005-1"
"37172264","Deployment of machine learning algorithms to predict sepsis: systematic review and application of the SALIENT clinical AI implementation framework","van der Vegt AH, Scott IA, Dermawan K, Schnetler RJ, Kalke VR, Lane PJ.","J Am Med Inform Assoc. 2023 Jun 20;30(7):1349-1361. doi: 10.1093/jamia/ocad075.","van der Vegt AH","J Am Med Inform Assoc","2023","2023/05/12","PMC10280361","","10.1093/jamia/ocad075"
"35860741","Identifying Novel Clusters of Patients With Prolonged Mechanical Ventilation Using Trajectories of Rapid Shallow Breathing Index","Yang TM, Chen L, Lin CM, Lin HL, Fang TP, Ge H, Cai H, Hong Y, Zhang Z.","Front Med (Lausanne). 2022 Jul 4;9:880896. doi: 10.3389/fmed.2022.880896. eCollection 2022.","Yang TM","Front Med (Lausanne)","2022","2022/07/21","PMC9289367","","10.3389/fmed.2022.880896"
"35583934","A Risk Score to Detect Subclinical Rheumatoid Arthritis-Associated Interstitial Lung Disease","Juge PA, Granger B, Debray MP, Ebstein E, Louis-Sidney F, Kedra J, Doyle TJ, Borie R, Constantin A, Combe B, Flipo RM, Mariette X, Vittecoq O, Saraux A, Carvajal-Alegria G, Sibilia J, Berenbaum F, Kannengiesser C, Boileau C, Sparks JA, Crestani B, Fautrel B, Dieudé P.","Arthritis Rheumatol. 2022 Nov;74(11):1755-1765. doi: 10.1002/art.42162. Epub 2022 Oct 5.","Juge PA","Arthritis Rheumatol","2022","2022/05/18","PMC9828082","","10.1002/art.42162"
"30535746","External validation of a combined PET and MRI radiomics model for prediction of recurrence in cervical cancer patients treated with chemoradiotherapy","Lucia F, Visvikis D, Vallières M, Desseroit MC, Miranda O, Robin P, Bonaffini PA, Alfieri J, Masson I, Mervoyer A, Reinhold C, Pradier O, Hatt M, Schick U.","Eur J Nucl Med Mol Imaging. 2019 Apr;46(4):864-877. doi: 10.1007/s00259-018-4231-9. Epub 2018 Dec 7.","Lucia F","Eur J Nucl Med Mol Imaging","2019","2018/12/12","","","10.1007/s00259-018-4231-9"
"35453922","Artificial Intelligence and Machine Learning in the Diagnosis and Management of Gastroenteropancreatic Neuroendocrine Neoplasms-A Scoping Review","Pantelis AG, Panagopoulou PA, Lapatsanis DP.","Diagnostics (Basel). 2022 Mar 31;12(4):874. doi: 10.3390/diagnostics12040874.","Pantelis AG","Diagnostics (Basel)","2022","2022/04/23","PMC9027316","","10.3390/diagnostics12040874"
