PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
35799302,Development and validation of a multivariable prediction model of central venous catheter-tip colonization in a cohort of five randomized trials,"Iachkine J, Buetti N, de Grooth HJ, Briant AR, Mimoz O, Mégarbane B, Mira JP, Ruckly S, Souweine B, du Cheyron D, Mermel LA, Timsit JF, Parienti JJ.",Crit Care. 2022 Jul 7;26(1):205. doi: 10.1186/s13054-022-04078-x.,Iachkine J,Crit Care,2022,2022/07/07,PMC9261073,,10.1186/s13054-022-04078-x
40151494,Development and validation of a risk-prediction model for adverse drug reactions in real-world cancer patients treated with anlotinib,"Qian J, Ruan C, Cai Y, Yi W, Liu J, Xu R.",Ther Adv Drug Saf. 2025 Mar 22;16:20420986251328687. doi: 10.1177/20420986251328687. eCollection 2025.,Qian J,Ther Adv Drug Saf,2025,2025/03/28,PMC11946284,,10.1177/20420986251328687
27189013,Opportunities and challenges in developing risk prediction models with electronic health records data: a systematic review,"Goldstein BA, Navar AM, Pencina MJ, Ioannidis JP.",J Am Med Inform Assoc. 2017 Jan;24(1):198-208. doi: 10.1093/jamia/ocw042. Epub 2016 May 17.,Goldstein BA,J Am Med Inform Assoc,2017,2016/05/19,PMC5201180,,10.1093/jamia/ocw042
26862030,Prognostic factors for cerebral palsy and motor impairment in children born very preterm or very low birthweight: a systematic review,"Linsell L, Malouf R, Morris J, Kurinczuk JJ, Marlow N.",Dev Med Child Neurol. 2016 Jun;58(6):554-69. doi: 10.1111/dmcn.12972. Epub 2016 Feb 10.,Linsell L,Dev Med Child Neurol,2016,2016/02/11,PMC5321605,EMS67400,10.1111/dmcn.12972
36383295,"28-day sepsis mortality prediction model from combined serial interleukin-6, lactate, and procalcitonin measurements: a retrospective cohort study","Xie Y, Zhuang D, Chen H, Zou S, Chen W, Chen Y.",Eur J Clin Microbiol Infect Dis. 2023 Jan;42(1):77-85. doi: 10.1007/s10096-022-04517-1. Epub 2022 Nov 16.,Xie Y,Eur J Clin Microbiol Infect Dis,2023,2022/11/16,PMC9816294,,10.1007/s10096-022-04517-1
33746422,Development of a multivariable prediction model for early revision of total knee arthroplasty - The effect of including patient-reported outcome measures,"Andersen JD, Hangaard S, Buus AAØ, Laursen M, Hejlesen OK, El-Galaly A.",J Orthop. 2021 Mar 11;24:216-221. doi: 10.1016/j.jor.2021.03.001. eCollection 2021 Mar-Apr.,Andersen JD,J Orthop,2021,2021/03/22,PMC7961305,,10.1016/j.jor.2021.03.001
33815175,Prospective Long-Term Cohort Study of Subjects With First-Episode Psychosis Examining Eight Major Outcome Domains and Their Predictors: Study Protocol,"Peralta V, Moreno-Izco L, García de Jalón E, Sánchez-Torres AM, Janda L, Peralta D, Fañanás L, Cuesta MJ; SEGPEPs Group.",Front Psychiatry. 2021 Mar 19;12:643112. doi: 10.3389/fpsyt.2021.643112. eCollection 2021.,Peralta V,Front Psychiatry,2021,2021/04/05,PMC8017172,,10.3389/fpsyt.2021.643112
35455660,Prediction of Successful Pharmacological Cardioversion in Acute Symptomatic Atrial Fibrillation: The Successful Intravenous Cardioversion for Atrial Fibrillation (SIC-AF) Score,"Niederdöckl JD, Simon A, Buchtele N, Schütz N, Cacioppo F, Oppenauer J, Gupta S, Lutnik M, Schnaubelt S, Spiel A, Roth D, Wimbauer F, Fegers-Wustrow I, Esefeld K, Halle M, Scharhag J, Laschitz T, Herkner H, Domanovits H, Schwameis M.",J Pers Med. 2022 Mar 30;12(4):544. doi: 10.3390/jpm12040544.,Niederdöckl JD,J Pers Med,2022,2022/04/23,PMC9025522,,10.3390/jpm12040544
31818263,DEBATE-statistical analysis plans for observational studies,"Hiemstra B, Keus F, Wetterslev J, Gluud C, van der Horst ICC.",BMC Med Res Methodol. 2019 Dec 9;19(1):233. doi: 10.1186/s12874-019-0879-5.,Hiemstra B,BMC Med Res Methodol,2019,2019/12/11,PMC6902479,,10.1186/s12874-019-0879-5
29619488,Long-term cognitive outcome of very low birth-weight Saudi preterm infants at the corrected age of 24-36 months,Sobaih BH.,Saudi Med J. 2018 Apr;39(4):368-372. doi: 10.15537/smj.2018.4.21989.,Sobaih BH,Saudi Med J,2018,2018/04/06,PMC5938650,,10.15537/smj.2018.4.21989
38913248,When AUC-ROC and accuracy are not accurate: what everyone needs to know about evaluating artificial intelligence in radiology,Huisman M.,Eur Radiol. 2024 Dec;34(12):7892-7894. doi: 10.1007/s00330-024-10859-5. Epub 2024 Jun 24.,Huisman M,Eur Radiol,2024,2024/06/24,,,10.1007/s00330-024-10859-5
