PMCID,in_scope,has_repo,repo_url
PMC10004854,Yes,No,
PMC10013725,Yes,No,
PMC10028662,Yes,No,
PMC10077108,Yes,Yes,https://github.com/mgregorich/BEAt-DKD_PredeGFR
PMC10090728,Yes,No,
PMC10093525,Yes,No,
PMC10100433,Yes,Yes,https://github.com/damiankotevski/head-and-neck-cancer-specific-survival
PMC10108055,Yes,No,
PMC10126632,Yes,No,
PMC10126833,Yes,No,
PMC10140307,Yes,No,
PMC10148534,Yes,No,
PMC10150351,No,,
PMC10155889,Yes,No,
PMC10156486,Yes,No,
PMC10160514,Yes,No,
PMC10183422,Yes,No,
PMC10208424,Yes,No,
PMC10225282,Yes,No,
PMC10268447,Yes,No,
PMC10270618,Yes,No,
PMC10296157,Yes,No,
PMC10298410,Yes,No,
PMC10318841,No,,
PMC10342346,Yes,No,
PMC10349525,No,,
PMC10352276,Yes,No,
PMC10360320,No,,
PMC10364531,Yes,No,
PMC10364916,Yes,No,
PMC10377591,Yes,No,
PMC10388776,Yes,No,
PMC10391999,Yes,No,
PMC10401249,Yes,No,
PMC10404110,Yes,No,
PMC10413153,Yes,No,
PMC10425489,Yes,No,
PMC10434772,Yes,No,
PMC10442054,Yes,No,
PMC10463099,Yes,No,
PMC10470828,Yes,No,
PMC10483840,Yes,No,
PMC10491759,Yes,Yes,https://github.com/ShinyShine-820/LPAprediction
PMC10493110,Yes,No,
PMC10494864,Yes,No,
PMC10523331,Yes,No,
PMC10540206,No,,
PMC10545794,Yes,Yes,https://github.com/TheDecodeLab/Prediction_of_CDI_by_EHR_and_Genetics
PMC10563357,Yes,No,
PMC10571353,Yes,No,
PMC10571426,Yes,No,
PMC10576064,Yes,No,
PMC10577833,No,,
PMC10587446,Yes,No,
PMC10589836,Yes,No,
PMC10593588,Yes,No,
PMC10629040,Yes,No,
PMC10632920,No,,
PMC10632953,Yes,No,
PMC10636514,No,,
PMC10645257,Yes,No,
PMC10646830,Yes,No,
PMC10658003,Yes,Yes,https://github.com/IreneSophia/MLSPE
PMC10660008,Yes,No,
PMC10668061,Yes,No,
PMC10681558,No,,
PMC10690599,Yes,No,
PMC10693097,Yes,No,
PMC10722083,No,,
PMC10728309,Yes,No,
PMC10739798,Yes,Yes,Appendix
PMC10760489,Yes,No,
PMC10772672,Yes,No,
PMC10800328,No,,
PMC10802546,Yes,No,
PMC10802816,Yes,No,
PMC10823604,Yes,No,
PMC10824440,Yes,No,
PMC10844206,Yes,Yes,https://github.com/benli12345/LEO-ML-NSQIP
PMC10844815,Yes,Yes,https://github.com/yiwangz/SS_learning/MLinHCT
PMC10851832,Yes,No,
PMC10889818,Yes,No,
PMC10893612,Yes,No,
PMC10921482,Yes,No,
PMC10921488,Yes,No,
PMC10928126,Yes,No,
PMC10937994,Yes,Yes,https://github.com/bounassif/Adenoma-Detector
PMC10950350,Yes,No,
PMC10950495,Yes,No,
PMC10955037,Yes,Yes,https://github.com/Exeter-Diabetes/CPRD-Pedro-SGLT2vsGLP1
PMC10955075,Yes,No,
PMC10961514,No,,
PMC10961815,Yes,No,
PMC10962486,Yes,No,
PMC10965837,Yes,No,
PMC10976804,Yes,No,
PMC11004583,Yes,No,
PMC11025382,Yes,No,
PMC11026453,No,,
PMC11033263,Yes,No,
PMC11040883,Yes,Yes,https://github.com/laamit/champCalculator
PMC11064448,Yes,No,
PMC11070845,Yes,No,
PMC11076659,Yes,No,
PMC11099871,Yes,No,
PMC11110183,No,,
PMC11110521,Yes,No,
PMC11122060,No,,
PMC11122431,Yes,No,
PMC11122536,Yes,No,
PMC11142441,Yes,No,
PMC11167850,Yes,No,
PMC11176384,Yes,No,
PMC11215936,No,,
PMC11231877,Yes,No,
PMC11247224,Yes,No,
PMC11250845,Yes,No,
PMC11255760,No,,
PMC11257923,Yes,Yes,https://github.com/tsryo/evalFL
PMC11278072,Yes,No,
PMC11284013,Yes,No,
PMC11294513,Yes,No,
PMC11302841,No,,
PMC11307559,Yes,Yes,https://seakheeoh76.shinyapps.io/XGBoost_BA_prediction
PMC11318235,Yes,No,
PMC11330934,Yes,No,
PMC11334749,Yes,No,
PMC11365504,Yes,No,
PMC11367381,Yes,No,
PMC11384709,Yes,No,
PMC11387168,Yes,No,
PMC11390508,No,,
PMC11396404,Yes,No,
PMC11399295,Yes,No,
PMC11427081,Yes,No,
PMC11447248,No,,
PMC11449733,Yes,No,
PMC11451987,Yes,No,
PMC11471650,Yes,No,
PMC11476935,No,,
PMC11481117,Yes,No,
PMC11481133,Yes,No,
PMC11485295,No,,
PMC11514854,Yes,No,
PMC11536189,Yes,No,
PMC11554727,No,,
PMC11568583,Yes,No,
PMC11570391,Yes,No,
PMC11574448,No,,
PMC11574685,Yes,No,
PMC11593079,No,,
PMC11624760,Yes,Yes,https://github.com/sersanmarsergio/SGA_prediction
PMC11629035,Yes,No,
PMC11634757,Yes,No,
PMC11638987,Yes,No,
PMC11645457,Yes,No,
PMC11654960,No,,
PMC11657784,Yes,No,
PMC11660205,No,,
PMC11664391,Yes,No,
PMC11667215,Yes,No,
PMC11680063,Yes,No,
PMC11681648,Yes,No,
PMC11687190,Yes,No,
PMC11701130,Yes,Yes,https://github.com/CalvinSMU/AiLES
PMC11704260,Yes,No,
PMC11705889,Yes,No,
PMC11707884,No,,
PMC11722487,Yes,Yes,https://github.com/weissman-lab/restriction
PMC11727307,Yes,No,
PMC11731481,Yes,No,
PMC11732298,Yes,No,
PMC11740599,No,,
PMC11750198,No,,
PMC11751371,Yes,No,
PMC11763444,Yes,No,
PMC11765713,Yes,No,
PMC11766095,Yes,No,
PMC11784135,No,,
PMC11787554,No,,
PMC11792265,Yes,No,
PMC11798840,No,,
PMC11816316,Yes,No,
PMC11825595,Yes,No,
PMC11827575,Yes,Yes,https://github.com/MGensheimer/prognosis-model
PMC11844575,Yes,No,
PMC11846245,Yes,No,
PMC11849712,Yes,No,
PMC11871932,Yes,No,
PMC11877787,Yes,No,
PMC11913776,No,,
PMC11919035,Yes,No,
PMC11922610,Yes,No,
PMC11925299,No,,
PMC11926840,Yes,No,
PMC11938237,Yes,Yes,https://github.com/SCYAN0401/Predict-GC-LNM
PMC11948419,No,,
PMC11950955,No,,
PMC11950982,Yes,No,
PMC11956138,Yes,No,
PMC11961286,Yes,No,
PMC11963296,Yes,No,
PMC11967024,Yes,No,
PMC11972393,Yes,No,
PMC11992218,Yes,No,https://www.cdc.gov/nchs/nhanes/index.htm
PMC11998117,Yes,No,
PMC12002943,Yes,No,
PMC12021605,Yes,No,
PMC12021828,Yes,No,
PMC12035205,Yes,No,
PMC12040308,Yes,No,
PMC12045099,Yes,No,
PMC12052262,Yes,No,
PMC12052839,Yes,No,
PMC12056651,Yes,No,
PMC12078944,No,,
PMC12096645,Yes,No,
PMC12102914,Yes,No,
PMC12104452,Yes,No,
PMC12106134,Yes,No,
PMC12107658,No,,
PMC12112574,Yes,No,
PMC12119310,Yes,No,
PMC12121029,Yes,Yes,https://github.com/EnzhaoZhu/Common-risks-prediction-among-psychiatric-inpatients
PMC12122445,No,,
PMC12132812,Yes,No,
PMC12138559,No,,
PMC12141006,Yes,No,
PMC12142483,No,,
PMC12145719,No,,
PMC12156888,Yes,No,
PMC4554906,No,,
PMC4670216,Yes,No,
PMC4790043,Yes,No,
PMC5008495,Yes,No,
PMC5085177,Yes,No,
PMC5104331,Yes,No,
PMC5122171,Yes,No,
