PMID,in_scope,has_repo,repo_url
36904233,Yes,No,
36911893,Yes,No,
36935582,Yes,No,
37017968,Yes,Yes,https://github.com/mgregorich/BEAt-DKD_PredeGFR
36384245,Yes,No,
37046788,Yes,No,
36369773,Yes,Yes,https://github.com/damiankotevski/head-and-neck-cancer-specific-survival
36054539,Yes,No,
37078130,Yes,No,
37113984,Yes,No,
37125050,Yes,No,
37118683,Yes,No,
37359193,No,,
37151895,Yes,No,
35266376,Yes,No,
37153420,Yes,No,
35947158,Yes,No,
37234779,Yes,No,
37246225,Yes,No,
37322499,Yes,No,
37319310,Yes,No,
37370692,Yes,No,
37367092,Yes,No,
37400814,No,,
37445215,Yes,No,
37457731,No,,
37460837,Yes,No,
37480028,No,,
36894166,Yes,No,
33876207,Yes,No,
37522153,Yes,No,
37551405,Yes,No,
37525288,Yes,No,
37536970,Yes,No,
37052452,Yes,No,
37575884,Yes,No,
37439872,Yes,No,
37602261,Yes,No,
36895179,Yes,No,
37639271,Yes,No,
37664051,Yes,No,
37692317,Yes,No,
37684259,Yes,Yes,https://github.com/ShinyShine-820/LPAprediction
37701177,Yes,No,
37701720,Yes,No,
37771672,Yes,No,
37780558,No,,
37783691,Yes,Yes,https://github.com/TheDecodeLab/Prediction_of_CDI_by_EHR_and_Genetics
37814311,Yes,No,
37833779,Yes,No,
37833720,Yes,No,
37833383,Yes,No,
37846285,No,,
37867787,Yes,No,
37642512,Yes,No,
37189276,Yes,No,
37932868,Yes,No,
37878365,No,,
37938844,Yes,No,
37954711,No,,
37970286,Yes,No,
37553207,Yes,No,
38025455,Yes,Yes,https://github.com/IreneSophia/MLSPE
38027648,Yes,No,
38020983,Yes,No,
37976441,No,,
38046414,Yes,No,
38041046,Yes,No,
38106286,No,,
38116193,Yes,No,
38129560,Yes,Yes,Appendix
38505255,Yes,No,
38196531,Yes,No,
38246898,No,,
35736225,Yes,No,
38264701,Yes,No,
38287435,Yes,No,
38285704,Yes,No,
38316811,Yes,Yes,https://github.com/benli12345/LEO-ML-NSQIP
37991991,Yes,Yes,https://github.com/yiwangz/SS_learning/MLinHCT
38321925,Yes,No,
38398493,Yes,No,
38395897,Yes,No,
38453215,Yes,No,
38453237,Yes,No,
38467752,Yes,No,
38480833,Yes,Yes,https://github.com/bounassif/Adenoma-Detector
37715537,Yes,No,
38510056,Yes,No,
38388753,Yes,Yes,https://github.com/Exeter-Diabetes/CPRD-Pedro-SGLT2vsGLP1
38515564,Yes,No,
38514147,No,,
38525768,Yes,No,
38529515,Yes,No,
38530543,Yes,No,
38539146,Yes,No,
38601655,Yes,No,
38638298,Yes,No,
38637674,No,,
38644449,Yes,No,
38654337,Yes,Yes,https://github.com/laamit/champCalculator
38699001,Yes,No,
38711474,Yes,No,
38720714,Yes,No,
38764582,Yes,No,
38778417,No,,
38769789,Yes,No,
38793096,No,,
38792329,Yes,No,
38792332,Yes,No,
38820263,Yes,No,
38862914,Yes,No,
38871785,Yes,No,
38953082,No,,
38989427,Yes,No,
39015466,Yes,No,
39022171,Yes,No,
38874054,No,,
39036502,Yes,Yes,https://github.com/tsryo/evalFL
39070129,Yes,No,
39081942,Yes,No,
39090456,Yes,No,
39103900,No,,
39130111,Yes,Yes,https://seakheeoh76.shinyapps.io/XGBoost_BA_prediction
39134981,Yes,No,
39165417,Yes,No,
39155796,Yes,No,
39219815,Yes,No,
39216899,Yes,No,
39256656,Yes,No,
39263571,Yes,No,
39267809,No,,
39274444,Yes,No,
38526750,Yes,No,
38409858,Yes,No,
39358556,No,,
39371396,Yes,No,
39365775,Yes,No,
39403207,Yes,No,
39302700,No,,
39384247,Yes,No,
39414315,Yes,No,
39140779,No,,
39465438,Yes,No,
39101211,Yes,No,
39305405,No,,
39548495,Yes,No,
39563909,Yes,No,
39551579,No,,
39563666,Yes,No,
39594772,No,,
39638610,Yes,Yes,https://github.com/sersanmarsergio/SGA_prediction
39585738,Yes,No,
39669362,Yes,No,
39668711,Yes,No,
39679163,Yes,No,
39693378,No,,
39696395,Yes,No,
39080790,No,,
39706675,Yes,No,
39718005,Yes,No,
39728167,Yes,No,
39731048,Yes,No,
39736645,Yes,No,
39757250,Yes,Yes,https://github.com/CalvinSMU/AiLES
39762511,Yes,No,
39611832,Yes,No,
39773121,No,,
39802801,Yes,Yes,https://github.com/weissman-lab/restriction
39800738,Yes,No,
39810985,Yes,No,
39816229,Yes,No,
39831150,No,,
39846069,No,,
39845249,Yes,No,
39851942,Yes,No,
39860654,Yes,No,
39860355,Yes,No,
39842939,No,,
39897418,No,,
39905525,Yes,No,
38849483,No,,
40018546,Yes,No,
