PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25562432","Transparent reporting of a multivariable prediction model for individual prognosis or diagnosis (TRIPOD): the TRIPOD statement","Collins GS, Reitsma JB, Altman DG, Moons KG.","Br J Cancer. 2015 Jan 20;112(2):251-9. doi: 10.1038/bjc.2014.639. Epub 2015 Jan 6.","Collins GS","Br J Cancer","2015","2015/01/07","PMC4454817","","10.1038/bjc.2014.639"
"36230858","Machine Learning-Based Genome-Wide Salivary DNA Methylation Analysis for Identification of Noninvasive Biomarkers in Oral Cancer Diagnosis","Adeoye J, Wan CCJ, Zheng LW, Thomson P, Choi SW, Su YX.","Cancers (Basel). 2022 Oct 8;14(19):4935. doi: 10.3390/cancers14194935.","Adeoye J","Cancers (Basel)","2022","2022/10/14","PMC9563273","","10.3390/cancers14194935"
"35117600","Development and validation of a nomogram to predict survival in patients with metastatic testicular germ cell tumors","Yu DD, Hui D, Chen WK, Xiao YB, Wu ZG, Wang QQ, Zhou CF, Chen ZX, Li CD, Cai J.","Transl Cancer Res. 2020 Apr;9(4):2402-2415. doi: 10.21037/tcr.2020.03.59.","Yu DD","Transl Cancer Res","2020","2022/02/04","PMC8799105","","10.21037/tcr.2020.03.59"
"35243281","Artificial intelligence in liver diseases: Improving diagnostics, prognostics and response prediction","Nam D, Chapiro J, Paradis V, Seraphin TP, Kather JN.","JHEP Rep. 2022 Feb 2;4(4):100443. doi: 10.1016/j.jhepr.2022.100443. eCollection 2022 Apr.","Nam D","JHEP Rep","2022","2022/03/04","PMC8867112","","10.1016/j.jhepr.2022.100443"
"38898411","Predictive models of Alzheimer's disease dementia risk in older adults with mild cognitive impairment: a systematic review and critical appraisal","Wang X, Zhou S, Ye N, Li Y, Zhou P, Chen G, Hu H.","BMC Geriatr. 2024 Jun 19;24(1):531. doi: 10.1186/s12877-024-05044-8.","Wang X","BMC Geriatr","2024","2024/06/19","PMC11188292","","10.1186/s12877-024-05044-8"
"33490847","Response to Yang and Riva-Cambrin","Pogatzki-Zahn EM, Yahiaoui-Doktor M, Meissner W, Zahn PK, Schnabel A.","Pain Rep. 2021 Jan 13;6(1):e876. doi: 10.1097/PR9.0000000000000876. eCollection 2021 Jan-Feb.","Pogatzki-Zahn EM","Pain Rep","2021","2021/01/25","PMC7810503","","10.1097/PR9.0000000000000876"
"37870417","Developing and Validating a Multivariable Prognostic-Predictive Classifier for Treatment Escalation of Oropharyngeal Squamous Cell Carcinoma: The PREDICTR-OPC Study","Mehanna H, Rapozo D, von Zeidler SV, Harrington KJ, Winter SC, Hartley A, Nankivell P, Schache AG, Sloan P, Odell EW, Thavaraj S, Hunter KD, Shah KA, Thomas GJ, Long A, Amel-Kashipaz R, Brown RM, Conn B, Hall GL, Matthews P, Weir J, Yeo Y, Pring M, West CML, McCaul J, Golusinski P, Sitch A, Spruce R, Batis N, Bryant JL, Brooks JM, Jones TM, Buffa F, Haider S, Robinson M.","Clin Cancer Res. 2024 Jan 17;30(2):356-367. doi: 10.1158/1078-0432.CCR-23-1013.","Mehanna H","Clin Cancer Res","2024","2023/10/23","PMC10792360","","10.1158/1078-0432.CCR-23-1013"
"37867787","Development of a population-level prediction model for intensive care unit (ICU) survivorship and mortality in older adults: A population-based cohort study","Khan SH, Perkins AJ, Fuchita M, Holler E, Ortiz D, Boustani M, Khan BA, Gao S.","Health Sci Rep. 2023 Oct 19;6(10):e1634. doi: 10.1002/hsr2.1634. eCollection 2023 Oct.","Khan SH","Health Sci Rep","2023","2023/10/23","PMC10587446","","10.1002/hsr2.1634"
"37382622","A self-supervised vision transformer to predict survival from histopathology in renal cell carcinoma","Wessels F, Schmitt M, Krieghoff-Henning E, Nientiedt M, Waldbillig F, Neuberger M, Kriegmair MC, Kowalewski KF, Worst TS, Steeg M, Popovic ZV, Gaiser T, von Kalle C, Utikal JS, Fröhling S, Michel MS, Nuhn P, Brinker TJ.","World J Urol. 2023 Aug;41(8):2233-2241. doi: 10.1007/s00345-023-04489-7. Epub 2023 Jun 29.","Wessels F","World J Urol","2023","2023/06/29","PMC10415487","","10.1007/s00345-023-04489-7"
"28585573","Tools for predicting patient-reported outcomes in prostate cancer patients undergoing radical prostatectomy: a systematic review of prognostic accuracy and validity","O'Callaghan ME, Raymond E, Campbell J, Vincent AD, Beckmann K, Roder D, Evans S, McNeil J, Millar J, Zalcberg J, Borg M, Moretti K.","Prostate Cancer Prostatic Dis. 2017 Dec;20(4):378-388. doi: 10.1038/pcan.2017.28. Epub 2017 Jun 6.","O'Callaghan ME","Prostate Cancer Prostatic Dis","2017","2017/06/07","","","10.1038/pcan.2017.28"
