PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
39139805,Multi-Quantifying Maxillofacial Traits via a Demographic Parity-Based AI Model,"Shi M, Gong Z, Zeng P, Xiang D, Cai G, Liu H, Chen S, Liu R, Chen Z, Zhang X, Chen Z.",BME Front. 2024 Aug 13;5:0054. doi: 10.34133/bmef.0054. eCollection 2024.,Shi M,BME Front,2024,2024/08/14,PMC11319927,,10.34133/bmef.0054
39536315,Comprehensive Symptom Prediction in Inpatients With Acute Psychiatric Disorders Using Wearable-Based Deep Learning Models: Development and Validation Study,"Hong M, Kang RR, Yang JH, Rhee SJ, Lee H, Kim YG, Lee K, Kim H, Lee YS, Youn T, Kim SH, Ahn YM.",J Med Internet Res. 2024 Nov 13;26:e65994. doi: 10.2196/65994.,Hong M,J Med Internet Res,2024,2024/11/13,PMC11602769,,10.2196/65994
39838390,Explainable machine learning models for identifying mild cognitive impairment in older patients with chronic pain,"Zhang X, Liao Y, Zhang D, Liu W, Wang Z, Jin Y, Chen S, Wei J.",BMC Nurs. 2025 Jan 21;24(1):72. doi: 10.1186/s12912-025-02723-8.,Zhang X,BMC Nurs,2025,2025/01/21,PMC11748277,,10.1186/s12912-025-02723-8
39886186,From prediction to practice: mitigating bias and data shift in machine-learning models for chemotherapy-induced organ dysfunction across unseen cancers,"Watson M, Chambers P, Steventon L, Harmsworth King J, Ercia A, Shaw H, Al Moubayed N.",BMJ Oncol. 2024 Nov 2;3(1):e000430. doi: 10.1136/bmjonc-2024-000430. eCollection 2024.,Watson M,BMJ Oncol,2024,2025/01/31,PMC11557724,,10.1136/bmjonc-2024-000430
39910103,Accessible model predicts response in hormone receptor positive HER2 negative breast cancer receiving neoadjuvant chemotherapy,"Mastrantoni L, Garufi G, Giordano G, Maliziola N, Di Monte E, Arcuri G, Frescura V, Rotondi A, Orlandi A, Carbognin L, Palazzo A, Miglietta F, Pontolillo L, Fabi A, Gerratana L, Pannunzio S, Paris I, Pilotto S, Marazzi F, Franco A, Franceschini G, Dieci MV, Mazzeo R, Puglisi F, Guarneri V, Milella M, Scambia G, Giannarelli D, Tortora G, Bria E.",NPJ Breast Cancer. 2025 Feb 5;11(1):11. doi: 10.1038/s41523-025-00727-w.,Mastrantoni L,NPJ Breast Cancer,2025,2025/02/05,PMC11799161,,10.1038/s41523-025-00727-w
40134506,Developing a multivariate model for the prediction of concussion recovery in sportspeople: a machine learning approach,"Yates LC, Yates E, Li X, Lu Y, Yakoub K, Davies D, Belli A, Sawlani V.",BMJ Open Sport Exerc Med. 2025 Mar 24;11(1):e002090. doi: 10.1136/bmjsem-2024-002090. eCollection 2025.,Yates LC,BMJ Open Sport Exerc Med,2025,2025/03/26,PMC11934374,,10.1136/bmjsem-2024-002090
40155703,A scoping review on generative AI and large language models in mitigating medication related harm,"Ong JCL, Chen MH, Ng N, Elangovan K, Tan NYT, Jin L, Xie Q, Ting DSW, Rodriguez-Monguio R, Bates DW, Liu N.",NPJ Digit Med. 2025 Mar 28;8(1):182. doi: 10.1038/s41746-025-01565-7.,Ong JCL,NPJ Digit Med,2025,2025/03/29,PMC11953325,,10.1038/s41746-025-01565-7
40202745,Clinician Suicide Risk Assessment for Prediction of Suicide Attempt in a Large Health Care System,"Bentley KH, Kennedy CJ, Khadse PN, Brooks Stephens JR, Madsen EM, Flics MJ, Lee H, Smoller JW, Burke TA.",JAMA Psychiatry. 2025 Jun 1;82(6):599-608. doi: 10.1001/jamapsychiatry.2025.0325.,Bentley KH,JAMA Psychiatry,2025,2025/04/09,PMC11983293,,10.1001/jamapsychiatry.2025.0325
40209178,Web-Based Explainable Machine Learning-Based Drug Surveillance for Predicting Sunitinib- and Sorafenib-Associated Thyroid Dysfunction: Model Development and Validation Study,"Chan FY, Ku YE, Lie WN, Chen HY.",JMIR Form Res. 2025 Apr 10;9:e67767. doi: 10.2196/67767.,Chan FY,JMIR Form Res,2025,2025/04/10,PMC12005597,,10.2196/67767
40274999,Predicting outcomes following open abdominal aortic aneurysm repair using machine learning,"Li B, Aljabri B, Beaton D, Al-Omran L, Hussain MA, Lee DS, Wijeysundera DN, Rotstein OD, de Mestral C, Mamdani M, Al-Omran M.",Sci Rep. 2025 Apr 24;15(1):14362. doi: 10.1038/s41598-025-98573-0.,Li B,Sci Rep,2025,2025/04/24,PMC12022244,,10.1038/s41598-025-98573-0
40132191,Predicting Therapy Outcomes in Patients With Stress-Related Disorders: Protocol for a Predictive Modeling Study,"Franke Föyen L, Sennerstam V, Kontio E, Flygare O, Boman M, Lindsäter E.",JMIR Res Protoc. 2025 Mar 25;14:e65790. doi: 10.2196/65790.,Franke Föyen L,JMIR Res Protoc,2025,2025/03/25,PMC11979537,,10.2196/65790
40191935,Deep learning for electrocardiogram interpretation: Bench to bedside,"Schots BBS, Pizarro CS, Arends BKO, Oerlemans MIFJ, Ahmetagić D, van der Harst P, van Es R.",Eur J Clin Invest. 2025 Apr;55 Suppl 1(Suppl 1):e70002. doi: 10.1111/eci.70002.,Schots BBS,Eur J Clin Invest,2025,2025/04/07,PMC11973865,,10.1111/eci.70002
40025487,Prognostic models for survival predictions in advanced cancer patients: a systematic review and meta-analysis,"Fung MY, Wong YL, Cheung KM, Bao KHK, Sung WWY.",BMC Palliat Care. 2025 Mar 1;24(1):54. doi: 10.1186/s12904-025-01696-4.,Fung MY,BMC Palliat Care,2025,2025/03/02,PMC11871741,,10.1186/s12904-025-01696-4
40028848,Using Machine Learning to Predict Outcomes Following Thoracic and Complex Endovascular Aortic Aneurysm Repair,"Li B, Eisenberg N, Beaton D, Lee DS, Aljabri B, Al-Omran L, Wijeysundera DN, Rotstein OD, Lindsay TF, de Mestral C, Mamdani M, Roche-Nagle G, Al-Omran M.",J Am Heart Assoc. 2025 Mar 4;14(5):e039221. doi: 10.1161/JAHA.124.039221. Epub 2025 Mar 3.,Li B,J Am Heart Assoc,2025,2025/03/03,PMC12132658,,10.1161/JAHA.124.039221
40487264,Assessment and recalibration of seventeen lung cancer risk prediction models in approximately one million Chinese population utilising healthcare big data: a retrospective cohort analysis,"Ye Z, Sun Y, Yin Y, Liu L, Cui M, Zhang L, Hao Y, Christiani DC, Lin H, Shen P, Wei Y.",Lancet Reg Health West Pac. 2025 May 16;58:101575. doi: 10.1016/j.lanwpc.2025.101575. eCollection 2025 May.,Ye Z,Lancet Reg Health West Pac,2025,2025/06/09,PMC12143837,,10.1016/j.lanwpc.2025.101575
40276496,"A practical guide to the implementation of AI in orthopaedic research-Part 7: Risks, limitations, safety and verification of medical AI systems","Winkler PW, Zsidai B, Hamrin Senorski E, Pruneski JA, Hirschmann MT, Ley C, Tischer T, Herbst E, Pareek A, Musahl V, Oeding JF, Oettl FC, Longo UG, Samuelsson K, Feldt R; ESSKA Artificial Intelligence Working Group.",J Exp Orthop. 2025 Apr 24;12(2):e70247. doi: 10.1002/jeo2.70247. eCollection 2025 Apr.,Winkler PW,J Exp Orthop,2025,2025/04/25,PMC12019299,,10.1002/jeo2.70247
40577014,Multicenter Validation of a Machine Learning Model for Surgical Transfusion Risk at 45 US Hospitals,"Lou SS, Kumar S, Goss CW, Avidan MS, Kheterpal S, Kannampallil T; Multicenter Perioperative Outcomes Group.",JAMA Netw Open. 2025 Jun 2;8(6):e2517760. doi: 10.1001/jamanetworkopen.2025.17760.,Lou SS,JAMA Netw Open,2025,2025/06/27,PMC12205404,,10.1001/jamanetworkopen.2025.17760
